140.238.56.153,1443,JP,Oracle Cloud
219.117.2.190,48401,JP,J:COM
220.80.128.180,20912,KR,KT
141.147.144.15,13357,JP,Oracle Cloud
221.161.58.134,30260,KR,KT
168.138.39.244,47324,JP,Oracle Cloud
139.177.190.120,8443,SG,Akamai Connected Cloud
150.230.204.21,3742,JP,Oracle Cloud
168.138.213.15,36008,JP,Oracle Cloud
132.145.124.43,12509,JP,Oracle Cloud
150.230.108.124,8832,JP,Oracle Cloud
64.110.101.90,55007,JP,Oracle Cloud
121.134.54.200,11551,KR,KT
158.101.150.33,17421,JP,Oracle Cloud
168.138.204.44,587,JP,Oracle Cloud
125.13.98.238,11299,JP,J:COM
140.83.35.254,48170,JP,Oracle Cloud
221.161.58.134,22542,KR,KT
43.134.181.60,38371,SG,Tencent cloud computing
140.83.37.134,46478,JP,Oracle Cloud
121.183.112.175,30063,KR,KT
219.117.2.190,57517,JP,J:COM
138.2.59.96,10129,JP,Oracle Cloud
121.183.112.175,30022,KR,KT
128.199.171.100,2053,SG,Digital Ocean
168.138.198.7,27560,JP,Oracle Cloud
141.147.178.249,37043,JP,Oracle Cloud
59.11.31.107,34637,KR,KT
138.2.19.1,61731,JP,Oracle Cloud
221.161.58.134,35972,KR,KT
222.116.176.142,16676,KR,KT
158.101.85.23,41092,JP,Oracle Cloud
153.174.24.218,24759,JP,NTT
221.161.58.134,29264,KR,KT
140.238.37.103,14782,JP,Oracle Cloud
221.161.58.134,23449,KR,KT
220.80.128.180,10435,KR,KT
141.147.155.5,54443,JP,Oracle Cloud
140.238.62.82,1443,JP,Oracle Cloud
152.70.100.102,58312,JP,Cloudflare Warp
59.11.31.107,27131,KR,KT
152.69.199.70,8443,JP,Oracle Cloud
59.12.130.171,13851,KR,KT
49.166.108.89,38043,KR,LG Uplus
138.2.56.246,443,JP,Oracle Cloud
140.83.59.158,15805,JP,Oracle Cloud
119.207.232.151,11296,KR,KT
119.207.232.151,13888,KR,KT
59.11.31.107,30063,KR,KT
158.101.91.164,37723,JP,Oracle Cloud
140.83.57.20,13118,JP,Oracle Cloud
59.2.114.243,22122,KR,KT
138.2.48.109,26412,JP,Oracle Cloud
132.145.116.192,44009,JP,Oracle Cloud
132.145.123.180,61731,JP,Oracle Cloud
138.3.222.124,46209,JP,Oracle Cloud
61.80.99.5,32941,KR,KT
121.183.112.175,30077,KR,KT
218.144.216.141,25730,KR,KT
121.134.54.200,30065,KR,KT
193.122.126.64,53777,KR,Oracle Cloud
121.134.54.200,27058,KR,KT
59.3.83.3,30062,KR,KT
59.15.182.92,22485,KR,KT
221.161.58.134,30569,KR,KT
59.11.31.107,13863,KR,KT
168.138.193.174,11959,JP,Oracle Cloud
59.15.182.92,30016,KR,KT
59.3.83.3,30012,KR,KT
168.138.213.1,50003,JP,Oracle Cloud
121.134.54.200,10609,KR,KT
118.47.65.248,30045,KR,KT
152.69.202.57,14325,JP,Oracle Cloud
59.12.130.171,27738,KR,KT
218.144.216.141,38820,KR,KT
118.176.177.2,31266,KR,DLIVE
118.40.67.50,30001,KR,KT
59.12.130.171,14680,KR,KT
118.130.187.163,30069,KR,LG DACOM Corporation
222.116.176.142,14430,KR,KT
118.40.67.50,50003,KR,KT
183.97.229.36,30007,KR,KT
121.169.228.177,24735,KR,KT
59.15.182.92,24550,KR,KT
118.130.187.163,30063,KR,LG DACOM Corporation
112.168.162.39,30059,KR,KT
125.130.15.106,20280,KR,KT
221.154.243.122,30351,KR,KT
182.172.211.112,30012,KR,DLIVE
14.33.77.185,29138,KR,KT
220.70.71.251,32145,KR,KT
175.203.94.155,19490,KR,KT
49.166.108.89,11636,KR,LG Uplus
211.224.100.195,30012,KR,KT
140.83.83.229,14829,JP,Oracle Cloud
138.2.127.24,587,KR,Oracle Cloud
121.162.197.175,10986,KR,KT
59.11.31.107,11815,KR,KT
59.11.31.107,30906,KR,KT
125.130.15.106,27879,KR,KT
14.49.215.93,30060,KR,KT
222.121.86.236,15831,KR,KT
121.162.14.67,26093,KR,KT
118.176.177.2,23252,KR,DLIVE
183.102.103.71,22866,KR,KT
175.203.94.155,10931,KR,KT
146.56.112.139,19276,KR,Oracle Cloud
222.103.185.193,24656,KR,KT
118.41.25.147,30012,KR,KT
125.139.138.180,23105,KR,KT
138.2.19.28,61731,JP,Oracle Cloud
218.157.11.21,31348,KR,KT
14.49.215.93,33318,KR,KT
222.103.185.193,11011,KR,KT
14.33.77.185,33601,KR,KT
218.144.216.141,18094,KR,KT
175.207.201.231,50000,KR,KT
141.147.152.229,23333,JP,Oracle Cloud
211.51.176.6,30059,KR,KT
221.154.243.122,22046,KR,KT
218.146.90.232,30053,KR,KT
118.47.5.54,29117,KR,KT
121.169.228.177,18817,KR,KT
140.83.56.110,56417,JP,Oracle Cloud
114.30.225.88,30030,KR,LG HelloVision Corp
118.45.241.209,30039,KR,KT
121.188.107.204,23805,KR,KT
49.166.202.100,30045,KR,LG Uplus
158.180.82.203,8443,KR,Oracle Cloud
118.41.25.147,30070,KR,KT
183.106.200.190,33246,KR,KT
175.207.201.231,30067,KR,KT
222.103.185.193,20438,KR,KT
118.41.80.44,15106,KR,KT
218.157.11.21,13954,KR,KT
58.141.62.97,30062,KR,DLIVE
45.14.244.216,23352,NL,PQ HOSTING SRL
221.149.11.173,35591,KR,KT
218.157.11.21,17340,KR,KT
193.93.153.82,443,NL,Asimo Networks
218.157.11.21,26918,KR,KT
222.103.185.193,30012,KR,KT
175.207.201.231,30007,KR,KT
175.207.201.231,30059,KR,KT
218.157.11.21,39427,KR,KT
125.135.43.66,30040,KR,KT
221.149.11.173,15679,KR,KT
144.24.84.212,49888,KR,Oracle Cloud
118.34.67.231,50001,KR,KT
193.93.153.82,8443,NL,Asimo Networks
59.14.189.65,21757,KR,KT
220.89.108.14,23612,KR,KT
192.236.249.97,443,NL,Hostwinds LLC
121.131.27.49,23389,KR,KT
218.157.11.21,12601,KR,KT
121.162.14.67,17298,KR,KT
121.187.220.167,23414,KR,KT
131.186.24.124,587,KR,Oracle Cloud
211.199.36.227,14491,KR,KT
175.207.201.231,30013,KR,KT
118.45.241.209,17186,KR,KT
45.14.244.216,2061,NL,Garant-G Ltd
182.213.59.227,26645,KR,LG Uplus
118.131.232.132,30063,KR,LG DACOM Corporation
121.187.220.167,10726,KR,KT
61.76.198.73,50000,KR,KT
152.70.82.101,18650,JP,Oracle Cloud
118.130.187.163,17328,KR,LG DACOM Corporation
192.236.249.111,443,NL,Hostwinds LLC
121.154.68.40,25270,KR,KT
112.170.112.178,15846,KR,KT
183.96.245.165,50001,KR,KT
14.35.29.177,15211,KR,KT
121.154.68.40,25079,KR,KT
121.154.68.40,22256,KR,KT
220.71.110.228,30053,KR,KT
14.47.160.140,30061,KR,KT
121.154.68.40,13282,KR,KT
175.212.154.25,30068,KR,KT
121.154.68.40,26471,KR,KT
211.194.174.120,50002,KR,KT
121.154.68.40,16040,KR,KT
61.73.36.4,25700,KR,KT
106.242.185.158,14174,KR,LG DACOM Corporation
88.210.9.239,443,NL,Servers Tech Fzco
121.154.68.40,19720,KR,KT
119.199.206.40,39731,KR,KT
121.154.68.40,11937,KR,KT
211.193.80.109,37972,KR,KT
5.35.70.155,443,NL,Servers Tech Fzco
211.199.36.227,11853,KR,KT
185.94.165.207,443,NL,First Server
66.151.42.104,443,NL,Internap Corporation
182.213.59.227,17832,KR,LG Uplus
119.194.63.100,30045,KR,KT
119.199.206.40,11166,KR,KT
112.170.112.178,27621,KR,KT
185.233.202.195,443,NL,First Server
119.199.206.40,23860,KR,KT
182.213.59.227,14253,KR,LG Uplus
121.154.68.40,34005,KR,KT
193.109.69.48,443,NL,Hostkey
119.194.63.100,30067,KR,KT
118.43.168.239,50000,KR,KT
211.181.24.134,30059,KR,LG DACOM Corporation
182.213.59.227,39452,KR,LG Uplus
77.238.226.178,443,NL,Servers Tech Fzco
220.90.241.159,50000,KR,KT
129.154.54.67,19567,KR,Oracle Cloud
182.213.59.227,14286,KR,LG Uplus
121.154.68.40,26186,KR,KT
220.71.245.141,11139,KR,KT
121.162.197.175,37353,KR,KT
221.161.58.134,31944,KR,KT
109.107.185.15,443,NL,Servers Tech Fzco
220.73.57.97,27139,KR,KT
23.254.226.110,443,NL,Hostwinds LLC
51.15.47.222,3443,NL,Scaleway
218.157.11.21,21851,KR,KT
211.177.125.213,50002,KR,SK Broadband
221.156.184.56,10091,KR,KT
211.227.43.208,30058,KR,KT
119.199.206.40,19729,KR,KT
152.70.232.251,58474,KR,Oracle Cloud
220.72.134.44,31164,KR,KT
211.250.34.187,10543,KR,KT
185.51.247.96,8443,NL,Zomro
89.110.112.54,443,NL,Servers Tech Fzco
81.31.245.115,7777,NL,TimeWeb
89.110.121.190,443,NL,Servers Tech Fzco
93.183.127.173,443,NL,Servers Tech Fzco
178.130.42.242,10909,NL,VDSINA
185.233.203.134,443,NL,First Server
211.194.174.120,30068,KR,KT
89.110.68.127,443,NL,Servers Tech Fzco
183.101.244.245,30065,KR,KT
112.186.144.121,30035,KR,KT
14.39.172.147,31316,KR,KT
2.59.183.233,444,NL,SERVA ONE LTD
118.46.29.202,30052,KR,KT
89.110.122.3,443,NL,Servers Tech Fzco
121.162.197.175,18397,KR,KT
147.45.134.93,53017,NL,TimeWeb
134.209.87.153,443,NL,Digital Ocean
218.209.28.138,50003,KR,SK Broadband
152.70.232.96,52013,KR,Oracle Cloud
38.180.131.229,443,NL,Scalaxy
183.101.244.245,30066,KR,KT
85.209.153.180,443,NL,Stark Industries Solutions
132.145.89.35,6688,KR,Oracle Cloud
188.215.229.74,8443,NL,Legaco Networks BV
192.236.249.88,443,NL,Hostwinds LLC
212.34.148.227,443,NL,Servers Tech Fzco
61.85.76.39,50000,KR,KT
121.147.229.1,50000,KR,KT
59.19.168.33,26254,KR,KT
121.167.15.173,50000,KR,KT
158.180.86.24,7443,KR,Oracle Cloud
59.5.26.56,38781,KR,KT
